6940	Treaties and other international agreements of the United States of America, 1776-1949 /	United States.		United States Government Printing Office,	13 volumes 		JX236 1968 .A5
6940	Treaties and other international agreements of the United States of America, 1776-1949 /	United States.		United States Government Printing Office,	13 volumes 		JX236 1968 .A5
6940	Treaties and other international agreements of the United States of America, 1776-1949 /	United States.		United States Government Printing Office,	13 volumes 		JX236 1968 .A5
6940	Treaties and other international agreements of the United States of America, 1776-1949 /	United States.		United States Government Printing Office,	13 volumes 		JX236 1968 .A5
6940	Treaties and other international agreements of the United States of America, 1776-1949 /	United States.		United States Government Printing Office,	13 volumes 		JX236 1968 .A5
6940	Treaties and other international agreements of the United States of America, 1776-1949 /	United States.		United States Government Printing Office,	13 volumes 		JX236 1968 .A5
6940	Treaties and other international agreements of the United States of America, 1776-1949 /	United States.		United States Government Printing Office,	13 volumes 		JX236 1968 .A5
6940	Treaties and other international agreements of the United States of America, 1776-1949 /	United States.		United States Government Printing Office,	13 volumes 		JX236 1968 .A5
6940	Treaties and other international agreements of the United States of America, 1776-1949 /	United States.		United States Government Printing Office,	13 volumes 		JX236 1968 .A5
6940	Treaties and other international agreements of the United States of America, 1776-1949 /	United States.		United States Government Printing Office,	13 volumes 		JX236 1968 .A5
6940	Treaties and other international agreements of the United States of America, 1776-1949 /	United States.		United States Government Printing Office,	13 volumes 		JX236 1968 .A5
5977	Ideas of history /			Dutton,	2 volumes		D16.8 .N3 1969
5977	Ideas of history /			Dutton,	2 volumes		D16.8 .N3 1969
7751	The Melville log : a documentary life of Herman Melville, 1819-1891 /			Gordian Press,	2 volumes	1,000	PS2385 .L4
7751	The Melville log : a documentary life of Herman Melville, 1819-1891 /			Gordian Press,	2 volumes	1,000	PS2386 .L4
10992	The Negro in American History.			Encyclopaedia Britannica Educational Corp.	3 volumes		E185 .N4
10140	Environmental studies; papers on the politics and public administration of man-environment relationships.			Institute of Public Administration, Indiana University,	4 volumes		HC110.E5 E5
10928	Life and labour of the people in London. 1st series: Poverty.	Booth, Charles,1840-1916.		A.M. Kelley,	5 volumes		HV4088.L8 B7 1969
9889	Sterling-dollar diplomacy; the origins and the prospects of our international economic order,	Gardner, Richard N.		McGraw-Hill		531	HG255 .G259 1969
5313	Twentieth century interpretations of Hard times : a collection of critical essays /			Prentice-Hall		127	PR4561 .G7
5821	Twentieth century interpretations of Lord Jim : a collection of critical essays /			Prentice-Hall		124	PR6005.O4 L735
5314	Twentieth century interpretations of The ambassadors : a collection of critical essays /			Prentice-Hall		125	PS2116.A53 S8
4097	Twentieth century interpretations of The castle : a collection of critical essays /			Prentice-Hall		126	PT2621.A26 S43
3918	Machina ex deo; essays in the dynamism of Western culture	White, Lynn,Jr.,1907-1987.		MIT Press		195	CB358 .W45
